ParentLocationCode,ParentLocation,SpatialDimValueCode,Location,Gdp,year,Dim1 type,Dim1,Dim1ValueCode,FactValueNumeric,Value,Level,Language,DateModified,,,pergdp,,,,,,,,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,,FactValueTranslationID,FactComments
AMR,Americas,BOL,Bolivia (Plurinational State of),23.96303343,2010,Sex,Both sexes,BTSX,70.34,70.34,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,6033.686239,,,,,,,,,,,,,,,
AMR,Americas,BOL,Bolivia (Plurinational State of),33.00019825,2015,Sex,Both sexes,BTSX,71.52,71.52,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,5967.052204,,,,,,,,,,,,,,,
AMR,Americas,BOL,Bolivia (Plurinational State of),40.89532284,2019,Sex,Both sexes,BTSX,72.14,72.14,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,6837.717826,,,,,,,,,,,,,,,
AMR,Americas,BOL,Bolivia (Plurinational State of),8.39791251,2000,Sex,Both sexes,BTSX,66.02,66.02,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,1276.493985,,,,,,,,,,,,,,,
EUR,Europe,BIH,Bosnia and Herzegovina,5.5674056,2000,Sex,Both sexes,BTSX,75.42,75.42,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,4270.780085,,,,,,,,,,,,,,,
EUR,Europe,BIH,Bosnia and Herzegovina,18.64472385,2010,Sex,Both sexes,BTSX,76.19,76.19,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,4770.232656,,,,,,,,,,,,,,,
EUR,Europe,BIH,Bosnia and Herzegovina,16.21981902,2015,Sex,Both sexes,BTSX,76.32,76.32,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,5078.809944,,,,,,,,,,,,,,,
EUR,Europe,BIH,Bosnia and Herzegovina,20.20132326,2019,Sex,Both sexes,BTSX,76.75,76.75,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,3364.491731,,,,,,,,,,,,,,,
AFR,Africa,BWA,Botswana,15.35197236,2010,Sex,Both sexes,BTSX,58.14,58.14,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,1955.460182,,,,,,,,,,,,,,,
AFR,Africa,BWA,Botswana,13.57875407,2015,Sex,Both sexes,BTSX,60.93,60.93,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,3035.971655,,,,,,,,,,,,,,,
AFR,Africa,BWA,Botswana,16.59372066,2019,Sex,Both sexes,BTSX,62.25,62.25,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,3552.068143,,,,,,,,,,,,,,,
AFR,Africa,BWA,Botswana,5.78832961,2000,Sex,Both sexes,BTSX,45.59,45.59,<50.0,EN,2020-12-03T16:00:00.000Z,,,997.5817489,,,,,,,,,,,,,,,
AMR,Americas,BRA,Brazil,655.4481883,2000,Sex,Both sexes,BTSX,71.47,71.47,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,3749.910848,,,,,,,,,,,,,,,
AMR,Americas,BRA,Brazil,2616.156607,2010,Sex,Both sexes,BTSX,74.09,74.09,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,11286.07154,,,,,,,,,,,,,,,
AMR,Americas,BRA,Brazil,1802.212,2015,Sex,Both sexes,BTSX,75.13,75.13,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,8813.989806,,,,,,,,,,,,,,,
AMR,Americas,BRA,Brazil,1877.824274,2019,Sex,Both sexes,BTSX,75.9,75.9,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,8897.552966,,,,,,,,,,,,,,,
WPR,Western Pacific,BRN,Brunei Darussalam,18.52531998,2010,Sex,Both sexes,BTSX,74.57,74.57,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,16056.37098,,,,,,,,,,,,,,,
WPR,Western Pacific,BRN,Brunei Darussalam,12.93039494,2015,Sex,Both sexes,BTSX,74.4,74.4,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,16524.8995,,,,,,,,,,,,,,,
WPR,Western Pacific,BRN,Brunei Darussalam,13.46942296,2019,Sex,Both sexes,BTSX,74.32,74.32,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,18148.49785,,,,,,,,,,,,,,,
WPR,Western Pacific,BRN,Brunei Darussalam,6.00115331,2000,Sex,Both sexes,BTSX,72.2,72.2,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,11268.42006,,,,,,,,,,,,,,,
EUR,Europe,BGR,Bulgaria,13.24583384,2000,Sex,Both sexes,BTSX,71.61,71.61,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,35270.64214,,,,,,,,,,,,,,,
EUR,Europe,BGR,Bulgaria,57.67824102,2010,Sex,Both sexes,BTSX,73.64,73.64,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,31164.03625,,,,,,,,,,,,,,,
EUR,Europe,BGR,Bulgaria,50.78199671,2015,Sex,Both sexes,BTSX,74.55,74.55,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,31085.96193,,,,,,,,,,,,,,,
EUR,Europe,BGR,Bulgaria,68.91541614,2019,Sex,Both sexes,BTSX,75.07,75.07,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,18012.50219,,,,,,,,,,,,,,,
AFR,Africa,BFA,Burkina Faso,2.96836999,2000,Sex,Both sexes,BTSX,51.64,51.64,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,2258.186435,,,,,,,,,,,,,,,
